size,connectance,sigma,mu_u,mu_l,Robs
250,0.5,0.25,-1.05,0.15000000000000002,1.5328399203495495
250,0.5,0.25,-1.05,0.15000000000000002,1.4738604066392198
250,0.5,0.25,-1.05,0.15000000000000002,1.5058797319390596
250,0.5,0.25,-1.05,0.15000000000000002,1.5860677067452251
250,0.5,0.25,-1.05,0.15000000000000002,1.5007173160850362
250,0.5,0.25,-1.05,0.15000000000000002,1.4487897341317522
250,0.5,0.25,-1.05,0.15000000000000002,1.4116434967975373
250,0.5,0.25,-1.05,0.15000000000000002,1.4716039491506971
250,0.5,0.25,-1.05,0.15000000000000002,1.4789890667460623
250,0.5,0.25,-1.05,0.15000000000000002,1.3932225473939763
250,0.5,0.25,-1.05,0.15000000000000002,1.5626793163546493
250,0.5,0.25,-1.05,0.15000000000000002,1.538550575135532
250,0.5,0.25,-1.05,0.15000000000000002,1.4002840920118997
250,0.5,0.25,-1.05,0.15000000000000002,1.6231903894775168
250,0.5,0.25,-1.05,0.15000000000000002,1.4184049614447432
250,0.5,0.25,-1.05,0.15000000000000002,1.5401950344049031
250,0.5,0.25,-1.05,0.15000000000000002,1.5420719922770882
250,0.5,0.25,-1.05,0.15000000000000002,1.3693776524697918
250,0.5,0.25,-1.05,0.15000000000000002,1.5246516872988216
250,0.5,0.25,-1.05,0.15000000000000002,1.4303626774083829
250,0.5,0.25,-1.05,0.15000000000000002,1.4682350997262403
250,0.5,0.25,-1.05,0.15000000000000002,1.4182204959877986
250,0.5,0.25,-1.05,0.15000000000000002,1.5476154445884398
250,0.5,0.25,-1.05,0.15000000000000002,1.3666650988974784
250,0.5,0.25,-1.05,0.15000000000000002,1.4553140537124054
250,0.5,0.25,-1.05,0.15000000000000002,1.4783937999012986
250,0.5,0.25,-1.05,0.15000000000000002,1.5037442815441326
250,0.5,0.25,-1.05,0.15000000000000002,1.462145480019575
250,0.5,0.25,-1.05,0.15000000000000002,1.490993495082474
250,0.5,0.25,-1.05,0.15000000000000002,1.5752562675160073
250,0.5,0.25,-1.05,0.15000000000000002,1.5801485671653555
250,0.5,0.25,-1.05,0.15000000000000002,1.4475925186376488
250,0.5,0.25,-1.05,0.15000000000000002,1.5324046366831299
250,0.5,0.25,-1.05,0.15000000000000002,1.5509418380628188
250,0.5,0.25,-1.05,0.15000000000000002,1.4944476482378763
250,0.5,0.25,-1.05,0.15000000000000002,1.483972648849005
250,0.5,0.25,-1.05,0.15000000000000002,1.458069609628448
250,0.5,0.25,-1.05,0.15000000000000002,1.6390157978490671
250,0.5,0.25,-1.05,0.15000000000000002,1.4479624563514697
250,0.5,0.25,-1.05,0.15000000000000002,1.531982118021945
250,0.5,0.25,-1.05,0.15000000000000002,1.4951313402819317
250,0.5,0.25,-1.05,0.15000000000000002,1.3652893960031465
250,0.5,0.25,-1.05,0.15000000000000002,1.5266492040143473
250,0.5,0.25,-1.05,0.15000000000000002,1.5464603569397304
250,0.5,0.25,-1.05,0.15000000000000002,1.5553808603174886
250,0.5,0.25,-1.05,0.15000000000000002,1.4196289586919704
250,0.5,0.25,-1.05,0.15000000000000002,1.456887028526933
250,0.5,0.25,-1.05,0.15000000000000002,1.5031387248405483
250,0.5,0.25,-1.05,0.15000000000000002,1.3977422370006125
250,0.5,0.25,-1.05,0.15000000000000002,1.406160223929556
250,0.5,0.25,-1.05,0.15000000000000002,1.4443852699258228
250,0.5,0.25,-1.05,0.15000000000000002,1.4372690094118485
250,0.5,0.25,-1.05,0.15000000000000002,1.4139300775391708
250,0.5,0.25,-1.05,0.15000000000000002,1.494123289340804
250,0.5,0.25,-1.05,0.15000000000000002,1.592979020307368
250,0.5,0.25,-1.05,0.15000000000000002,1.4263471354892034
250,0.5,0.25,-1.05,0.15000000000000002,1.3972100639998002
250,0.5,0.25,-1.05,0.15000000000000002,1.5275839648013338
250,0.5,0.25,-1.05,0.15000000000000002,1.414210872781958
250,0.5,0.25,-1.05,0.15000000000000002,1.495598562114854
250,0.5,0.25,-1.05,0.15000000000000002,1.4515081362069961
250,0.5,0.25,-1.05,0.15000000000000002,1.5192910675182634
250,0.5,0.25,-1.05,0.15000000000000002,1.5608717586404917
250,0.5,0.25,-1.05,0.15000000000000002,1.4611063734142615
250,0.5,0.25,-1.05,0.15000000000000002,1.389709521085578
250,0.5,0.25,-1.05,0.15000000000000002,1.471492881431174
250,0.5,0.25,-1.05,0.15000000000000002,1.491508289791291
250,0.5,0.25,-1.05,0.15000000000000002,1.4133015710561918
250,0.5,0.25,-1.05,0.15000000000000002,1.48773434061367
250,0.5,0.25,-1.05,0.15000000000000002,1.4308020152085332
250,0.5,0.25,-1.05,0.15000000000000002,1.392644357537878
250,0.5,0.25,-1.05,0.15000000000000002,1.360915357282839
250,0.5,0.25,-1.05,0.15000000000000002,1.3935808603061368
250,0.5,0.25,-1.05,0.15000000000000002,1.4744015494382519
250,0.5,0.25,-1.05,0.15000000000000002,1.4963659980005954
250,0.5,0.25,-1.05,0.15000000000000002,1.6351322890240956
250,0.5,0.25,-1.05,0.15000000000000002,1.4105908934619549
250,0.5,0.25,-1.05,0.15000000000000002,1.4226433172199608
250,0.5,0.25,-1.05,0.15000000000000002,1.4640349479963652
250,0.5,0.25,-1.05,0.15000000000000002,1.4327349266035796
250,0.5,0.25,-1.05,0.15000000000000002,1.3652141035002958
250,0.5,0.25,-1.05,0.15000000000000002,1.4780054250389014
250,0.5,0.25,-1.05,0.15000000000000002,1.5728564323876009
250,0.5,0.25,-1.05,0.2,1.8182669846222308
250,0.5,0.25,-1.05,0.2,1.7786163508262498
250,0.5,0.25,-1.05,0.2,1.8275079954203481
250,0.5,0.25,-1.05,0.2,1.79798187445052
250,0.5,0.25,-1.05,0.2,1.6827478043785213
250,0.5,0.25,-1.05,0.2,1.836060845166561
250,0.5,0.25,-1.05,0.2,1.7538200159224056
250,0.5,0.25,-1.05,0.2,1.7798791609928968
250,0.5,0.25,-1.05,0.2,1.8081818911474166
250,0.5,0.25,-1.05,0.2,1.646954825412565
250,0.5,0.25,-1.05,0.2,1.7504026293048764
250,0.5,0.25,-1.05,0.2,1.721429440196486
250,0.5,0.25,-1.05,0.2,1.5420219670350608
250,0.5,0.25,-1.05,0.2,1.7776695642028593
250,0.5,0.25,-1.05,0.2,1.794040769206309
250,0.5,0.25,-1.05,0.2,1.6672396231927396
250,0.5,0.25,-1.05,0.2,1.8075649007672525
250,0.5,0.25,-1.05,0.2,1.647821823904309
250,0.5,0.25,-1.05,0.2,1.5889239252763352
250,0.5,0.25,-1.05,0.2,1.7406725379041195
250,0.5,0.25,-1.05,0.2,1.6563978441298046
250,0.5,0.25,-1.05,0.2,1.6835024547484179
250,0.5,0.25,-1.05,0.2,1.7579597411579921
250,0.5,0.25,-1.05,0.2,1.769275327366157
250,0.5,0.25,-1.05,0.2,1.7220096038032435
250,0.5,0.25,-1.05,0.2,1.7128118288849543
250,0.5,0.25,-1.05,0.2,1.7355368209442608
250,0.5,0.25,-1.05,0.2,1.655990404278935
250,0.5,0.25,-1.05,0.2,1.6512380641432722
250,0.5,0.25,-1.05,0.2,1.6507424873578087
250,0.5,0.25,-1.05,0.2,1.8430131484425962
250,0.5,0.25,-1.05,0.2,1.6325580893094498
250,0.5,0.25,-1.05,0.2,1.8369913741303825
250,0.5,0.25,-1.05,0.2,1.6682099897571256
250,0.5,0.25,-1.05,0.2,1.6459037969756258
250,0.5,0.25,-1.05,0.2,1.70945078121209
250,0.5,0.25,-1.05,0.2,1.6328436368759967
250,0.5,0.25,-1.05,0.2,1.804900026604617
250,0.5,0.25,-1.05,0.2,1.7375708001970782
250,0.5,0.25,-1.05,0.2,1.6486771682977208
250,0.5,0.25,-1.05,0.2,1.7980040347733508
250,0.5,0.25,-1.05,0.2,1.7086623510543146
250,0.5,0.25,-1.05,0.2,1.800459615061665
250,0.5,0.25,-1.05,0.2,1.7909654634225147
250,0.5,0.25,-1.05,0.2,1.840408393632366
250,0.5,0.25,-1.05,0.2,1.811058062213858
250,0.5,0.25,-1.05,0.2,1.8306331275875452
250,0.5,0.25,-1.05,0.2,1.7184774507250253
250,0.5,0.25,-1.05,0.2,1.7231866852618902
250,0.5,0.25,-1.05,0.2,1.813629148115265
250,0.5,0.25,-1.05,0.2,1.8144621118888253
250,0.5,0.25,-1.05,0.2,1.6925008314372791
250,0.5,0.25,-1.05,0.2,1.6935221636499818
250,0.5,0.25,-1.05,0.2,1.733077605960544
250,0.5,0.25,-1.05,0.2,1.7678763055654583
250,0.5,0.25,-1.05,0.2,1.8062968705170253
250,0.5,0.25,-1.05,0.2,1.7511558962564246
250,0.5,0.25,-1.05,0.2,1.6464865400647881
250,0.5,0.25,-1.05,0.2,1.7777347259552894
250,0.5,0.25,-1.05,0.2,1.7456263830786933
250,0.5,0.25,-1.05,0.2,1.7421855947779108
250,0.5,0.25,-1.05,0.2,1.8468441037509609
250,0.5,0.25,-1.05,0.2,1.7307243203754734
250,0.5,0.25,-1.05,0.2,1.7912975291328728
250,0.5,0.25,-1.05,0.2,1.6165094800996094
250,0.5,0.25,-1.05,0.2,1.7503797617846149
250,0.5,0.25,-1.05,0.2,1.7939676040497896
250,0.5,0.25,-1.05,0.2,1.6684929532176105
250,0.5,0.25,-1.05,0.2,1.5300862661080956
250,0.5,0.25,-1.05,0.2,1.5978074879315063
250,0.5,0.25,-1.05,0.2,1.8030101046299933
250,0.5,0.25,-1.05,0.2,1.6733275739802342
250,0.5,0.25,-1.05,0.2,1.772613949524766
250,0.5,0.25,-1.05,0.2,1.8336402836245334
250,0.5,0.25,-1.05,0.2,1.6424303235684825
250,0.5,0.25,-1.05,0.2,1.8392928506330493
250,0.5,0.25,-1.05,0.2,1.8105508327021242
250,0.5,0.25,-1.05,0.2,1.5802991523410252
250,0.5,0.25,-1.05,0.2,1.7214035134102728
250,0.5,0.25,-1.05,0.2,1.6705832831743013
250,0.5,0.25,-1.05,0.2,1.8317589515155612
