connectance,sigma,mu,rho,Va,Pa,Rmax
0.1,0.5,-1,-0.3464999999999999,0.11499999999999999,0.7072826086956523,1
0.1,0.5,-1,-0.32175,0.11499999999999999,0.7126630434782609,1
0.1,0.5,-1,-0.29699999999999993,0.11499999999999999,0.7180434782608696,1
0.1,0.5,-1,-0.27225,0.11499999999999999,0.7234239130434783,1
0.1,0.5,-1,-0.24749999999999994,0.11499999999999999,0.728804347826087,1
0.1,0.5,-1,-0.22275,0.11499999999999999,0.7341847826086957,1
0.1,0.5,-1,-0.19799999999999995,0.11499999999999999,0.7395652173913044,1
0.1,0.5,-1,-0.1732499999999999,0.11499999999999999,0.7449456521739132,1
0.1,0.5,-1,-0.14849999999999997,0.11499999999999999,0.7503260869565218,1
0.1,0.5,-1,-0.12374999999999992,0.11499999999999999,0.7557065217391306,1
0.1,0.5,-1,-0.09899999999999998,0.11499999999999999,0.7610869565217393,1
0.1,0.5,-1,-0.07424999999999993,0.11499999999999999,0.7664673913043479,1
0.1,0.5,-1,-0.04949999999999999,0.11499999999999999,0.7718478260869566,1
0.1,0.5,-1,-0.02474999999999994,0.11499999999999999,0.7772282608695653,1
0.1,0.5,-1,0,0.11499999999999999,0.782608695652174,1
0.1,0.5,-1,0.02475000000000005,0.11499999999999999,0.7879891304347827,1
0.1,0.5,-1,0.0495000000000001,0.11499999999999999,0.7933695652173914,1
0.1,0.5,-1,0.07425000000000015,0.11499999999999999,0.7987500000000001,1
0.1,0.5,-1,0.09899999999999998,0.11499999999999999,0.8041304347826087,1
0.1,0.5,-1,0.12375000000000003,0.11499999999999999,0.8095108695652175,1
0.1,0.5,-1,0.14850000000000008,0.11499999999999999,0.8148913043478261,1
0.1,0.5,-1,0.17325000000000013,0.11499999999999999,0.8202717391304348,1
0.1,0.5,-1,0.19800000000000018,0.11499999999999999,0.8256521739130436,1
0.1,0.5,-1,0.22275,0.11499999999999999,0.8310326086956522,1
0.1,0.5,-1,0.24750000000000005,0.11499999999999999,0.836413043478261,1
0.1,0.5,-1,0.2722500000000001,0.11499999999999999,0.8417934782608697,1
0.1,0.5,-1,0.29700000000000015,0.11499999999999999,0.8471739130434783,1
0.1,0.5,-1,0.32175,0.11499999999999999,0.8525543478260871,1
0.1,0.5,-1,0.34650000000000003,0.11499999999999999,0.8579347826086958,1
0.1,0.5,-1,0.3712500000000001,0.11499999999999999,0.8633152173913045,1
0.1,0.5,-1,0.39600000000000013,0.11499999999999999,0.8686956521739132,1
0.1,0.5,-1,0.4207500000000002,0.11499999999999999,0.874076086956522,1
0.1,0.5,-1,0.4455,0.11499999999999999,0.8794565217391306,1
0.1,0.5,-1,0.47025000000000006,0.11499999999999999,0.8848369565217391,1
0.1,0.5,-1,0.4950000000000001,0.11499999999999999,0.8902173913043481,1
0.1,0.5,-1,0.5197500000000002,0.11499999999999999,0.8955978260869566,1
0.1,0.5,-1,0.5445,0.11499999999999999,0.9009782608695652,1
0.1,0.5,-1,0.56925,0.11499999999999999,0.906358695652174,1
0.1,0.5,-1,0.5940000000000001,0.11499999999999999,0.9117391304347827,1
0.1,0.5,-1,0.6187500000000001,0.11499999999999999,0.9171195652173914,1
0.1,0.5,-1,0.6435000000000002,0.11499999999999999,0.9225000000000001,1
0.1,0.5,-1,0.66825,0.11499999999999999,0.9278804347826088,1
0.1,0.5,-1,0.6930000000000001,0.11499999999999999,0.9332608695652175,1
0.1,0.5,-1,0.7177500000000001,0.11499999999999999,0.9386413043478262,1
0.1,0.5,-1,0.7425000000000002,0.11499999999999999,0.9440217391304349,1
0.1,0.5,-1,0.76725,0.11499999999999999,0.9494021739130436,1
0.1,0.5,-1,0.792,0.11499999999999999,0.9547826086956523,1
0.1,0.5,-1,0.8167500000000001,0.11499999999999999,0.960163043478261,1
0.1,0.5,-1,0.8415000000000001,0.11499999999999999,0.9655434782608697,1
0.1,0.5,-1,0.8662500000000002,0.11499999999999999,0.9709239130434785,1
0.1,0.5,-1,0.891,0.11499999999999999,0.976304347826087,1
0.1,0.5,-1,0.9157500000000001,0.11499999999999999,0.9816847826086958,1
0.1,0.5,-1,0.9405000000000001,0.11499999999999999,0.9870652173913044,1
0.1,0.5,-1,0.9652500000000002,0.11499999999999999,0.9924456521739132,1
0.1,0.5,-1,0.99,0.11499999999999999,0.9978260869565218,1
0.1,0.5,-0.975,-0.99,0.11055625000000001,0.5500028266154107,1
