run,Rmax,Robs,size,connectance,sigma,mu,obs,pred,Rho
43,1.2,1.1749388958776263,250,0.5199181411881,0.2603351952056128,-0.0017608706839382648,0.16381583119545595,0.16686171714842166,0.192021445649876
44,1.2,1.5492737333765056,250,0.35713896807283163,0.47472998747961137,0.19225526647642255,0.028667228285407867,0.03888461452387946,0.4367072694423173
45,1.2,1.1984629621195135,250,0.9576589679345489,0.38244077120327435,-0.27055872371420264,0.18180849052393425,0.1818484338024576,0.11633473348293763
46,1.2,1.39003947550393,250,0.4742413049098104,0.43892606883366564,0.07812272757291794,0.03103349638575644,0.027157776576735335,0.4772893679295127
47,1.2,1.5974759769882243,250,0.2903283666819334,0.4561171009776466,0.14263252029195428,0.021987580523896467,0.030028195128848943,0.6751463573616564
48,1.2,1.4004239699152683,250,0.0513670111540705,0.2925995971407325,-0.09509114967659116,0.18946001433848852,0.16290443850595693,0.33340389263081516
49,1.2,0.9515947420217272,250,0.5175118276383728,0.4656308493372814,0.15865712985396385,0,0.041588500495715594,0.4223143805195338
50,1.2,1.2594899077206814,250,0.8765731728635728,0.31741135377815277,-0.4028985155746341,0.16964563493043425,0.17814725502491896,0.12010856719902747
51,1.2,1.2900769424285772,250,0.8754078084602952,0.3122484356354935,0.07552603119984269,0.022750173102404736,0.03817231103760507,0.848219811389152
52,1.2,1.14293669067701,250,0.9654449636582285,0.16593799822187302,-0.6372165763750672,0.1767418635464355,0.16796877969473667,0.18513573988917073
53,1.2,1.1643215836335445,250,0.27406441094353795,0.232754073363801,-0.16665034694597125,0.15787718671385859,0.1632846709371629,0.23757885015493843
54,1.2,1.5595977648882366,250,0.441936751594767,0.443597228641888,0.13998917723074555,0.02632098272156765,0.036389747093867525,0.7763566658686345
55,1.2,1.58251554252599,250,0.4592059012502432,0.47394182406264296,0.04205986484885216,0.21723035202482008,0.1620130735974083,0.1538062987191803
56,1.2,1.160598623364941,250,0.9991334488149732,0.15282471772982037,-0.7995833675377071,0.16822572254014137,0.16412751503343553,0.22999416251539959
57,1.2,1.2038414035025167,250,0.7005484171677381,0.18224887025943465,-0.19009305955842137,0.1531152038356995,0.1658484298556597,0.2072475842217921
58,1.2,1.1890851196310843,250,0.6467982672620565,0.2209215077728026,-0.23922657361254096,0.1644248090819899,0.16890525187050417,0.17647314134305114
59,1.2,1.180336204854848,250,0.8547257829923183,0.2919634086570388,-0.39752191910520196,0.20564509635810893,0.17656290586444387,0.12885291969234852
60,1.2,1.1494392036028045,250,0.2837934021372348,0.2560551985883493,-0.15711180958896875,0.11184537593356872,0.16406169673200444,0.23226835459710032
