sigma,mu,rho,Va,Pa,Rmax,Robs,Rho
0.3162732303608209,0.22612649947404861,0.435052502900362,0.06279767656253116,0.5500550452600951,0.6527497219542807,0.8546535392788387,0.9980420062708352
0.46398306358605623,0.23122105654329062,0.13888818747363985,0.12100593589460006,0.23400288763287813,0.6260957615474193,0.5108113735893741,0.9999597312144471
0.916829185327515,0.2627781124319881,-0.1250195421744138,0.4375509616274871,-0.08063315369304046,0.5585113033100906,0.9452229755575299,0.9954321013718105
0.3800378004088998,-0.34839283116161823,-0.15518530551344156,0.10255875607101933,0.18660311083695064,0.8573149313846264,0.8298209751881419,0.9424774190997073
0.0032169674523174763,0.41123615042306483,-0.1178401280194521,0.042283967293490037,0.999863205919106,0.5574738309708179,0.46386117466356547,0.9999958516383233
0.4625046111177653,0.31248357240110636,-0.18637171224690974,0.131366753407737,0.034088238739647544,0.3078206461495949,0.30322245887347915,0.9999996267302316
0.4436391752678901,0.23487637261860073,-0.06007879972457886,0.1121995865198048,0.07022754540255725,0.3834153520961711,0.25720507812150045,0.9999996980489475
0.005197389284148812,-0.4821518510580063,-0.24558143178001046,0.058131108297350964,0.9997105963394216,0.884034746599202,0.8541444068610435,0.9795269739701148
0.20006256876513362,0.006313768681138754,-0.33871520683169365,0.02002248162919164,-0.33804887948955853,1.2066304436144337,1.1923785848166242,0.7300556676808784
0.3687191978096962,0.1606234316714108,-0.23973599122837186,0.07442689511718803,-0.13229818871231885,0.3465407439190147,0.3717799647707665,0.9999917366540007
0.5878268571104854,0.19727171189151704,-0.09822829975746572,0.18249923904834794,-0.03968176327221178,0.305280557037908,0.4294271004126957,0.9999891881179518
0.8978444365784526,-0.36338477628305554,-0.19367452315054834,0.43607444005601104,-0.10330983390233286,1.1116868176398265,1.122108772089991,0.6292392460590326
0.16452143411152065,-0.4056470871437341,0.021584427682682872,0.05467104096810477,0.7577961788866598,0.8666410774359206,0.8526161514482897,0.9667523519786376
0.31146577978506684,0.3714084520470351,-0.31660714908502996,0.08299152555155356,0.2304919946245859,0.43810027357853615,0.41774406168667066,0.9999952381486736
0.25257183867506683,-0.37736440589651465,-0.3602979558054358,0.06749724055525935,0.35718221617200097,0.8479106165438571,0.8532230454364887,0.9203484828939957
0.5317735844291747,0.07765329349786043,0.11358840251341462,0.14289908104609247,0.12293956842678068,0.7532062219811299,1.087480658337636,-0.8455939253164945
0.7388816270977259,-0.2455936239566654,0.4310793709009886,0.2880520864633334,0.46086143815909614,0.9253560956246067,0.9171290502281507,0.8614085033630056
0.5674134742002934,-0.06673919945023954,-0.18532475596293807,0.16209255553783825,-0.17718190886315205,1.2013187294969194,1.163916950461607,0.7054213828043207
0.09425664506852627,0.34947492205537856,-0.4548487300053239,0.0349753378561903,0.8152221623859333,0.4921922761815973,0.5316407927556372,0.9999776037608405
0.38673687307164073,0.34299401682801545,-0.28195240744389594,0.10419392839156941,0.07990926588042734,0.3453952246154735,0.2589292812007715,0.9999999386067074
0.2859797601122409,0.21969050797633827,0.03905890975147486,0.05295819142065282,0.25799946447377303,0.4387653061383931,0.24404321247236616,0.9999996649905568
0.5379860708490014,0.0403673502150923,0.05283235991373658,0.14512188695462036,0.055491213536865695,0.8640855431106055,0.9054670473554823,0.8058032133000314
0.9595151864923537,0.10981742013245821,-0.475978996604681,0.46334966299586533,-0.46637495996027284,1.854613067358356,1.87298287448684,0.27919129801439635
0.47899117274209857,0.16449568001553416,-0.3931160676293075,0.12148097896836871,-0.3155399536271408,0.6588779029356227,0.6414608438107529,0.9986582999770885
0.6573648229241371,-0.3427166340406984,-0.47640142613090575,0.24542792802108757,-0.2997606959348629,1.5699428831635078,1.5332784839647984,0.3406911877620442
