size,connectance,zeta,sigma,mu,rho,Robs,Rho
250,0.5,1,0.16568634298164395,0.4837231677956879,-0.4785720205400139,0.37619083414724697,0.9999989530980128
250,0.5,1,0.2502610650844872,0.10422827559523284,0.48862947477027774,0.5229869583460952,0.99985292190017
250,0.5,1,0.12453576270490883,0.0978901309426874,0.4564255343284458,0.3614683468335224,0.9999973982477092
250,0.5,1,0.02507756080012768,-0.37126241298392415,0.23794490471482277,0.8562317305909765,0.9759519329454648
250,0.5,1,0.24953973828814924,0.02206395077519118,0.4560415840242058,0.8006543537041902,0.9792175074880892
250,0.5,1,0.19704324391204864,0.40208101412281394,0.2608412904664874,0.3964220236804702,0.9999979096701088
250,0.5,1,0.33389356441330165,0.12913667014800012,0.4512867571320385,0.5829070198281173,0.99957800580345
250,0.5,1,0.38302707707043737,0.34473682777024806,-0.08862200449220836,0.28456460964924696,0.9999997304929992
250,0.5,1,0.418895315611735,-0.32520202174782753,0.4652275156695396,0.904338928138216,0.9181073751348724
250,0.5,1,0.24920377577655017,0.13932316796854138,0.1736927442252636,0.3610371095255379,0.999995808620898
250,0.5,1,0.40190578694455326,0.49901283346116543,-0.22165815974585712,0.38520820554885415,0.9999976527203756
250,0.5,1,0.15509053051937371,-0.12192774820141494,-0.15785949165001512,0.7019598050354894,0.9916041854830948
250,0.5,1,0.1265271691372618,0.02541958563961088,0.09475934109650552,0.3996911179631637,0.9999746403337092
250,0.5,1,0.05135802703443914,-0.32596852956339717,0.16224872111342847,0.8739372840952188,0.9808363727904176
250,0.5,1,0.09748512541409582,0.4655722100287676,-0.07021999103017151,0.4187917309827591,0.9999975194321652
250,0.5,1,0.4847111144335941,0.19863171270117164,0.23117646225728097,0.53911861481314,0.9998095330458008
250,0.5,1,0.4719689306803048,-0.17425435036420822,-0.1541418384294957,0.9961301955048152,0.8493971689937823
250,0.5,1,0.3217624652897939,0.3451399062760174,0.1922484717797488,0.38795145326414104,0.999996955369236
250,0.5,1,0.4656213248381391,-0.01334879966452717,-0.3678423238452524,1.6607925972694146,0.2748769542625136
250,0.5,1,0.09275971865281464,0.09420162485912442,-0.12582923239097,0.18294846601404496,0.999999994238227
250,0.5,1,0.18561089714057744,0.3447956144809723,-0.3750348300673067,0.360309242871198,0.9999988829210944
250,0.5,1,0.3014245458180085,0.18575506238266823,-0.14740780112333596,0.18579468360105172,0.9999999840356092
250,0.5,1,0.4043084316654131,0.3796126840170473,-0.40140545601025224,0.1842711381040927,0.9999999954309118
250,0.5,1,0.23825280787423253,0.2601895567495376,-0.07709758286364377,0.3466086377507889,0.9999987009895848
250,0.5,1,0.1737126095686108,-0.3086154186166823,0.08575966954231262,0.8360816200806567,0.9583331627909631
250,0.5,1,0.32925061881542206,-0.40690369834192097,0.12139740283600986,0.9463401407521782,0.8878671058885993
250,0.5,1,0.07872602413408458,-0.20413122605532408,0.2483051277231425,0.811441794166382,0.9897126101928088
250,0.5,1,0.30660732358228415,-0.3942444543354213,-0.24081815453246236,0.8697562867473532,0.9280822850701778
250,0.5,1,0.27921197237446904,0.39867680170573294,-0.21046756021678448,0.3848809473057093,0.9999979833917066
250,0.5,1,0.07159932132344693,-0.2294178227894008,-0.4624747890047729,0.8395334411284131,0.9871435617155638
250,0.5,1,0.2482109487755224,-0.3619641778059304,-0.11753945238888264,0.8650316327754525,0.9546213032490738
250,0.5,1,0.28540480125229806,0.10880948114208876,-0.16873453347943723,0.33372326523000406,0.9999970176214854
250,0.5,1,0.3697761909570545,-0.49603149108588696,0.31681146775372326,0.960652237978327,0.8647645010250645
250,0.5,1,0.1598705108044669,0.06769454386085272,0.17840530769899487,0.3162056959420004,0.9999979918076408
250,0.5,1,0.2255467512877658,-0.06561620463617146,-0.3308666192460805,1.0687802290105546,0.8325670489556354
250,0.5,1,0.3894610650604591,0.10958492732606828,-0.3662460222840309,0.6674700097364822,0.996727164778967
250,0.5,1,0.05344424676150083,-0.31505066831596196,0.3751566468272358,0.8373395727529699,0.9840885153746446
250,0.5,1,0.3759420111309737,0.4457748446147889,0.3042791550979018,0.47572858940411566,0.9999876822146688
250,0.5,1,0.3901012677233666,0.09018790628761052,0.3371187588199973,0.6944593434816486,0.9955063365473068
250,0.5,1,0.14985739905387163,-0.0786058777011931,0.18980554910376668,0.7028292401515623,0.9938483325817205
250,0.5,1,0.38458928815089166,0.4418617042247206,0.22676238929852843,0.46011221720634177,0.999989383617072
250,0.5,1,0.01684449485037475,-0.44493856956250966,-0.09068067418411374,0.8813316821457243,0.9685833244099412
250,0.5,1,0.43325723975431174,0.4101385523099452,0.25327814533375204,0.48119014024236056,0.99997961224677
250,0.5,1,0.4262048356467858,-0.2478203985374421,-0.4694301229901612,1.3056409461487004,0.5935228926164403
250,0.5,1,0.4605851327069104,0.11253231181763113,-0.2043773364275694,1.066006178971557,0.8192667477071732
250,0.5,1,0.49304398766253144,0.29557162430137396,0.4970887345261872,0.6320220928720925,0.9996178897916485
250,0.5,1,0.4040862610563636,0.24481606320478025,-0.4399988597724587,0.3992923560771887,0.9999849787836632
250,0.5,1,0.31581662001553923,-0.05546463560312986,0.3986606318503618,0.8755464133993136,0.9444283329182152
250,0.5,1,0.06233849050477147,0.08480794914066792,-0.1800088593736291,0.18446823334000093,0.9999999958103364
250,0.5,1,0.4339878117898479,-0.20021135220304132,-0.38212096807546914,1.2632503933544326,0.6379739060061869
250,0.5,1,0.05220255977474153,0.06858828593976796,-0.190359614090994,0.16646542603955783,0.9999999983384962
250,0.5,1,0.01192671118769794,0.3993555917404592,0.3281742832623422,0.38158633516281393,0.9999989738986896
250,0.5,1,0.3755962029099464,-0.28353599086403847,0.3392142306547612,0.8993298640262681,0.9089428587200566
250,0.5,1,0.3287777747027576,0.28942102915607393,-0.1869206523988396,0.24495608742973837,0.9999999308626716
250,0.5,1,0.4814109930302948,-0.14866274199448526,0.10019275546073914,0.9059592532844868,0.8445844599337555
250,0.5,1,0.26531075919047,-0.09220615192316473,-0.28775126906111836,1.079104478953914,0.8730543988491744
250,0.5,1,0.46558728069067,0.2869899997022003,-0.34215100621804595,0.3657593611607544,0.999993564093131
250,0.5,1,0.02828827186021953,0.3542568648699671,0.4941247070673853,0.3632020657965136,0.999999211837078
250,0.5,1,0.18953023245558143,0.16068439790979028,-0.24246745719574392,0.15289756025663662,0.9999999976310991
250,0.5,1,0.1636678064242005,0.338128317380324,0.3911412954330444,0.4255115991820983,0.9999960419272664
250,0.5,1,0.2982377865118906,0.42303263465873897,-0.4421332823112607,0.3059706488763381,0.9999997159388072
250,0.5,1,0.2832095875637606,-0.36537283402867615,-0.25219581718556583,0.8690356148704887,0.894773514423268
250,0.5,1,0.4341741637326777,-0.4520458932965994,0.3783371427562088,0.9141658807301684,0.8887355255364459
250,0.5,1,0.47595550620462745,-0.4645427679643035,0.2980600274167955,0.9150711213286724,0.8278485479317788
250,0.5,1,0.27369414642453194,-0.05327794561162591,-0.26219502836465836,1.2024999164443988,0.7470443025110622
250,0.5,1,0.01253577438183128,-0.29438568372279406,0.0230611627921462,0.8468385820962522,0.9854523595073088
250,0.5,1,0.36906483536586165,0.04674366139806807,0.19081663060933352,0.8206100069311713,0.9691609870818332
250,0.5,1,0.4125719800358638,-0.2664993437938392,-0.35073898010887206,0.9714830611010182,0.8986417209763056
250,0.5,1,0.08387727988883853,-0.4159083345439285,0.06605972768738866,0.8694576312541444,0.9622174880599244
250,0.5,1,0.2053460453171283,-0.3589781310874969,0.27955713821575046,0.9086206048409048,0.9493823699930746
250,0.5,1,0.04114853811915964,-0.07021147711202502,0.4393530017696321,0.5600764203584421,0.9996946324335788
250,0.5,1,0.4871728898724541,-0.46741443453356624,-0.14507256052456796,0.9003543243651556,0.8926798549067521
250,0.5,1,0.3837136630900204,-0.3904854448046535,-0.1765074401628226,0.8776019267630425,0.8417930424465548
250,0.5,1,0.34325529076159,0.4369217157363891,0.3602801391389221,0.4553366652722124,0.9999911748349466
250,0.5,1,0.16794029728043824,0.07018926227465272,0.4547191057354212,0.37656910881672423,0.9999931754551818
250,0.5,1,0.08000906661618501,0.4131541776005178,0.4700630404986441,0.44022213595546145,0.999996359888348
250,0.5,1,0.1272652702173218,0.1277697675395757,-0.35703079495579004,0.18918920118499805,0.9999999936535564
250,0.5,1,0.4883302473463118,-0.45405964995734394,-0.3504782400559634,0.9081259664157272,0.7900150709983584
250,0.5,1,0.4147629347862676,-0.39574115606956184,0.3080893699079752,0.9247603845305052,0.8723474892565946
250,0.5,1,0.1146603199886158,-0.2930725887417793,-0.10633381200022995,0.8241172564767038,0.9739855904594508
250,0.5,1,0.49274441960733384,0.19839379121549428,0.0495722396299243,0.4892315361606745,0.9999216158384684
250,0.5,1,0.4333538693608716,-0.30040902784094214,0.32311149896122515,0.8948848855205923,0.9146850343429714
250,0.5,1,0.2931946470635012,-0.0336784734390676,-0.00309677934274077,0.7775899174430444,0.9509276499035672
250,0.5,1,0.49289573985151947,0.07849580212496221,-0.3228399839717895,1.7372522190058557,-0.47868214795517405
250,0.5,1,0.33780437789391726,0.39517433289438486,-0.14496597554534674,0.3350246990192195,0.9999991113797356
